,epoch,train_loss,val_loss
0,1,0.46596814295063255,0.0
1,2,0.3380560538441431,0.0
2,3,0.32129090630495155,0.0
3,4,0.30887497633268113,0.0
4,5,0.2972089588397839,0.0
5,5,0.2972089588397839,0.30932051575825575
6,6,0.2973709646612406,0.0
7,7,0.2857199903027933,0.0
8,8,0.2742232618639704,0.0
9,9,0.28711698007327124,0.0
10,10,0.2673190107080536,0.0
11,10,0.2673190107080536,0.2915553790719613
12,11,0.2735156993091595,0.0
13,12,0.25807988472649307,0.0
14,13,0.25321437603198604,0.0
15,14,0.2495245765436624,0.0
16,15,0.2536482453101971,0.0
17,15,0.2536482453101971,0.28742889319517595
18,16,0.24536972418122116,0.0
19,17,0.24045907367081915,0.0
20,18,0.236037690192461,0.0
21,19,0.24153160706895296,0.0
22,20,0.23577530792013543,0.0
23,20,0.23577530792013543,0.28016967327945225
24,21,0.23347865411492644,0.0
25,22,0.23615941077043287,0.0
26,23,0.2254644051560613,0.0
27,24,0.22949156672006749,0.0
28,25,0.23358428690460373,0.0
29,25,0.23358428690460373,0.27548032155256585
30,26,0.22467777963544502,0.0
31,27,0.2155014422462612,0.0
32,28,0.22828098559049798,0.0
33,29,0.22046317581514843,0.0
34,30,0.22200028914347536,0.0
35,30,0.22200028914347536,0.2767832520153705
